,year,district,month,season,incident_count_in_district_-_non-ems,incident_count_in_district_-_ems,nc_name,avg_travel_time_ems,avg_travel_time_non_ems,avg_turnout_time_non_ems,avg_turnout_time_ems
303,2013,25,May,spring,37,173,BOYLE HEIGHTS NC,237,269,77,92
304,2013,25,Jun,summer,43,160,BOYLE HEIGHTS NC,241,220,81,89
305,2013,25,Jul,summer,24,169,BOYLE HEIGHTS NC,238,317,84,86
306,2013,25,Aug,summer,36,171,BOYLE HEIGHTS NC,239,293,87,91
307,2013,25,Sep,fall,34,148,BOYLE HEIGHTS NC,241,292,78,87
308,2013,25,Oct,fall,52,154,BOYLE HEIGHTS NC,257,260,68,87
309,2013,25,Nov,fall,45,157,BOYLE HEIGHTS NC,247,289,88,88
310,2013,25,Dec,winter,33,149,BOYLE HEIGHTS NC,240,366,79,89
311,2013,25,Overall 2013,Overall 2013,448,1877,BOYLE HEIGHTS NC,240,278,78,88
312,2013,26,Jan,winter,54,343,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",227,217,73,78
313,2013,26,Feb,winter,42,346,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",244,230,72,75
314,2013,26,Mar,spring,35,366,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",237,228,80,74
315,2013,26,Apr,spring,55,368,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",237,241,71,72
316,2013,26,May,spring,58,395,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",228,255,71,74
317,2013,26,Jun,summer,59,378,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",245,208,83,79
318,2013,26,Jul,summer,53,353,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",231,219,78,81
319,2013,26,Aug,summer,45,428,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",238,231,75,77
320,2013,26,Sep,fall,40,374,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",233,232,68,73
321,2013,26,Oct,fall,52,356,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",236,211,71,72
322,2013,26,Nov,fall,49,325,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",220,227,73,73
323,2013,26,Dec,winter,46,388,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",219,236,75,75
324,2013,26,Overall 2013,Overall 2013,588,4420,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",233,228,74,75
325,2013,27,Jan,winter,134,469,CENTRAL HOLLYWOOD NC,235,222,67,80
326,2013,27,Feb,winter,72,439,CENTRAL HOLLYWOOD NC,235,249,58,77
